player,team,league,position,nationality,secondNationality,active,dataset
A. Adli,AFC Bournemouth,Premier League,Attacker,Morocco,France,yes,Europe
C. Riad,Crystal Palace FC,Premier League,Defender,Morocco,Spain,yes,Europe
A. Aznou,Everton FC,Premier League,Defender,Morocco,Spain,yes,Europe
I. Diop,Fulham FC,Premier League,Defender,Morocco,France,yes,Europe
N. Mazraoui,Manchester United FC,Premier League,Defender,Morocco,Netherlands,yes,Europe
C. Talbi,Sunderland AFC,Premier League,Attacker,Morocco,Belgium,yes,Europe
Y. Akhamrich,Tottenham Hotspur FC,Premier League,Attacker,Morocco,England,no,Europe
N. Aguerd,West Ham United FC,Premier League,Defender,Morocco,,no,Europe
Y. Oukili,Casa Pia AC,Primeira Liga,Midfielder,Morocco,Netherlands,no,Europe
A. Oudrhiri,Club Foot Estrela,Primeira Liga,Midfielder,Morocco,France,no,Europe
N. Touaizi,FC Alverca,Primeira Liga,Attacker,Morocco,Spain,yes,Europe
Z. Kessary,FC Alverca,Primeira Liga,Midfielder,Morocco,,yes,Europe
Y. Zabiri,FC Famalicão,Primeira Liga,Attacker,Morocco,,no,Europe
Y. Begraoui,GD Estoril Praia,Primeira Liga,Attacker,Morocco,France,yes,Europe
A. El Ouazzani,Sporting Braga,Primeira Liga,Attacker,Morocco,France,yes,Europe
A. Bellaarouch,Sporting Braga,Primeira Liga,Goalkeeper,Morocco,,yes,Europe
R. Bounida,AFC Ajax,Eredivisie,Attacker,Morocco,Belgium,yes,Europe
A. Ouazane,AFC Ajax,Eredivisie,Midfielder,Morocco,Netherlands,yes,Europe
W. Bouziane,Alkmaar Zaanstreek,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe
A. Oufkir,Alkmaar Zaanstreek,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe
Y. Taha,FC Groningen,Eredivisie,Attacker,Morocco,Netherlands,yes,Europe
I. El Maach,FC Twente,Eredivisie,Goalkeeper,Morocco,Netherlands,yes,Europe
R. El Arguioui,FC Utrecht,Eredivisie,Midfielder,Morocco,Netherlands,yes,Europe
O. Agougil,FC Utrecht,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe
S. El Karouani,FC Utrecht,Eredivisie,Defender,Morocco,Netherlands,yes,Europe
B. Ould-Chikh,FC Volendam,Eredivisie,Attacker,Morocco,Netherlands,yes,Europe
N. Bukala,FC Volendam,Eredivisie,Midfielder,Netherlands,Morocco,yes,Europe
S. van Persie,Feyenoord Rotterdam,Eredivisie,Attacker,Netherlands,Morocco,yes,Europe
O. Targhalline,Feyenoord Rotterdam,Eredivisie,Midfielder,Morocco,,yes,Europe
