player,team,specific_position,age,market_value,contract_expiration,Matchs joués  ,Minutes jouées  ,goals,xg,birth_country,Passeport pays  ,foot,height,weight,loan
A. Hakimi,PSG,RB,27.0,60000000,2029-06-30,46,4215,5,6.21,Spain,"Spain, Morocco",droite,181,73,non
A. Adli,Bournemouth,"LAMF, RAMF",26.0,30000000,2030-06-30,34,1463,3,3.04,France,"France, Morocco",gauche,174,72,non
N. Mazraoui,Manchester United,"LB, RB, RCB",28.0,30000000,2028-06-30,27,1825,0,0.11,Netherlands,"Netherlands, Morocco",droite,183,65,non
S. Amrabat,Real Betis,"RDMF, DMF, RCMF",29.0,22000000,2028-06-30,34,2638,2,0.29,Netherlands,"Netherlands, Morocco",droite,185,82,oui
I. Saibari,PSV,"CF, AMF, LCMF",25.0,16000000,2029-06-30,47,4007,22,16.21,Morocco,"Morocco, Belgium",droite,185,81,non
Ilias Akhomach,Rayo Vallecano,"RAMF, RW, RWF",22.0,15000000,2028-06-30,34,1535,1,2.84,Spain,"Spain, Morocco",gauche,174,68,oui
Chadi Riad,Crystal Palace,LCB,22.0,15000000,2029-06-30,12,862,0,0.98,Spain,"Spain, Morocco",gauche,187,77,non
A. Harit,İstanbul Başakşehir,LAMF,28.0,15000000,2027-06-30,24,1664,2,2.13,France,"France, Morocco",droite,180,67,oui
A. Ounahi,Girona,"LCMF, CF, AMF",26.0,12000000,2030-06-30,28,2150,6,4.85,Morocco,Morocco,droite,182,62,non
Z. Aboukhlal,Torino,"LWB, RWF",26.0,10000000,2029-06-30,18,734,0,0.85,Netherlands,"Netherlands, Morocco",gauche,179,73,non
Y. Bounou,Al Hilal,GK,35.0,9000000,2028-06-30,50,5217,0,0.0,Canada,"Canada, Morocco",gauche,195,78,non
O. Sahraoui,Lille,"LAMF, LW, AMF",24.0,8500000,2029-06-30,25,949,1,1.43,Norway,"Norway, Morocco",droite,170,65,non
N. El Aynaoui,Roma,"RCMF, DMF, LCMF",24.0,8000000,2030-06-30,44,2975,2,3.1,France,"France, Morocco",droite,185,77,non
A. Abqar,Getafe,"RCB, CB",27.0,7500000,2028-06-30,24,1606,0,0.17,Morocco,Morocco,droite,188,80,non
I. Chair,Queens Park Rangers,"LW, AMF, LAMF",28.0,7000000,,15,1052,1,2.53,Belgium,"Belgium, Morocco",droite,158,53,non
T. Tissoudali,Khorfakkan,"CF, LW",33.0,6500000,2027-06-30,33,2872,12,9.78,Netherlands,"Netherlands, Morocco",droite,182,74,non
W. Cheddira,Lecce,CF,28.0,6000000,2028-06-30,34,1450,4,4.32,Italy,"Italy, Morocco",droite,186,79,oui
S. Boufal,Le Havre,"AMF, CF, LWF",32.0,6000000,2026-06-30,32,1486,1,2.42,France,"France, Morocco",droite,175,75,non
Y. Kechta,Le Havre,"LCMF, RCMF, LAMF",24.0,5000000,2026-06-30,31,1535,2,2.1,Morocco,"Morocco, France",gauche,166,59,non
A. El Kaabi,Olympiacos Piraeus,CF,32.0,5000000,2028-06-30,50,3723,25,25.9,Morocco,Morocco,gauche,182,76,non
Y. Maleh,Cremonese,"LCMF, DMF",27.0,4500000,2027-06-30,23,1681,1,0.42,Italy,"Italy, Morocco",gauche,177,74,oui
Z. El Ouahdi,Genk,"RB, RWB",24.0,4500000,2028-06-30,45,4377,12,7.55,Belgium,"Belgium, Morocco",droite,172,66,non
C. Driouech,PSV,"LW, LAMF, LWF",24.0,4000000,2029-06-30,40,1485,9,6.41,Netherlands,"Netherlands, Morocco",droite,175,64,non
R. Saïss,Al Sadd,LCB,36.0,3200000,2026-06-30,17,1367,0,0.55,France,"France, Morocco",gauche,188,76,non
A. El Mahdioui,Al Taawon,"DMF, LCMF",30.0,3000000,2026-06-30,41,3826,1,0.62,Netherlands,"Netherlands, Morocco",droite,185,77,non
I. Kandouss,RSB Berkane,RCB,28.0,3000000,2027-06-30,33,3174,0,0.68,France,"France, Morocco",droite,192,83,non
A. Harroui,Hellas Verona,"LCMF, RCMF",28.0,2700000,2028-06-30,23,995,1,1.56,Netherlands,"Netherlands, Morocco",droite,182,76,non
A. Hamdallah,Al Shabab,CF,35.0,2600000,2027-06-30,20,1635,10,11.65,Morocco,Morocco,droite,182,75,non
O. El Azzouzi,Auxerre,"DMF, RCMF",25.0,2500000,2027-06-30,11,845,1,0.45,Netherlands,"Netherlands, Morocco",droite,189,75,oui
A. El Ghazi,Al Sailiya,"LAMF, CF, LW",31.0,2500000,2027-06-30,19,1327,3,3.74,Netherlands,"Netherlands, Morocco",droite,189,90,non
B. Bouchouari,Trabzonspor,"RDMF, RCMF, LDMF",24.0,2500000,2028-06-30,17,705,0,0.35,Belgium,"Belgium, Morocco",droite,165,65,non
Munir El Haddadi,Esteghlal,"AMF, LCMF, RCMF",30.0,2500000,2027-06-30,8,619,1,1.31,Spain,"Spain, Morocco",gauche,177,69,non
S. El Karouani,Utrecht,LB,25.0,2400000,2026-06-30,52,4655,4,3.52,Netherlands,"Netherlands, Morocco",gauche,178,74,non
M. Bouldini,Granada,CF,30.0,2200000,2028-06-30,17,489,0,1.08,Morocco,Morocco,droite,187,88,oui
R. Slim,FAR Rabat,"RAMF, RW",26.0,2200000,2027-06-30,30,1966,4,3.93,Morocco,Morocco,droite,176,64,oui
Aïmen Moueffek,Saint-Étienne,"RCMF, AMF",25.0,2000000,2028-06-30,33,1588,1,1.95,France,"France, Morocco",droite,179,71,non
O. El Hilali,Espanyol,RB,22.0,2000000,2027-06-30,37,3110,0,0.01,Spain,"Spain, Morocco",droite,183,75,non
A. El Ouazzani,Sporting Braga,CF,24.0,2000000,2029-06-30,22,1230,2,4.36,France,"France, Morocco",gauche,188,75,non
M. Chouiar,RSB Berkane,"AMF, LW, LAMF",27.0,1800000,2028-06-30,45,3729,11,7.97,France,"France, Morocco",droite,177,75,non
